RIO;COORD- X;COORD- Y;PUNTO;FECHA;Temperatura;Ph;Oxigeno disuelto;Solidos_Totales;Nitratos;Fosfatos;Turbiedad;DBO5;Coliformes fecales;CALIDAD AGUA NSF;Clasificacion 
HUASAGA;275317,5;9699416,5;P1;08/01/2018  07:25:43 a, m,;19,6;7,3;9,38;46,02;2,9;0,17;0,86;12,5;2500;58,03;Regular
HUASAGA;267687,4;9704496,8;P2;08/01/2018  09:25:43 a, m,;19,7;7,16;9,56;49,6;6,5;0,89;0,75;13,5;1300;50,27;Regular
HUASAGA;260536,9;9708079,8;P3;08/01/2018  11:25:43 a, m,;20,5;7,56;8,97;45,2;4,3;0,25;0,96;12,6;1000;56,97;Regular
HUASAGA;258714,1;9715164,6;P4;08/01/2018  14:25:43 p, m,;21,3;7,4;8,88;59,6;5,25;0,96;0,82;11,4;800;52,22;Regular
HUASAGA;257269,2;9720800,8;P5;08/01/2018  16:25:43 p, m,;22,1;6,63;6,09;52,63;2,5;0,56;0,89;11,2;600;52,85;Regular
CHAPIZA;177784,8;9681258,3;P1;10/01/2018  07:25:43 a, m,;19,9;6,5;7,3;68,95;6,8;0,36;0,79;15,8;700;50,79;Regular
CHAPIZA;178221,8;9689341,6;P2;10/01/2018  09:25:43 a, m,;19,9;6,6;8,45;95,23;6,2;0,45;0,76;14,6;600;53,08;Regular
CHAPIZA;178170;9693894;P3;10/01/2018  11:25:43 a, m,;20,1;6,7;6,08;94,7;2,1;1,01;0,81;13,7;2500;46,5;Malo
CHAPIZA;176461,8;9699526,9;P4;10/01/2018  13:25:43 p, m,;21,2;7,15;7,2;164,23;2,5;0,56;0,91;12,7;700;54,04;Regular
CHAPIZA;170189;9701869,7;P5;10/01/2018  15:25:43 p, m,;21,8;7,2;6,56;49,63;6,2;0,36;0,79;15,8;1500;48,61;Malo
HUASAGA;275317,5;9699416,5;P1;09/05/2018  09:00:00 a, m,;19,1;6,8;6,05;100,56;4,9;0,86;2,6;12,1;700;49,66;Malo
HUASAGA;267687,4;9704496,8;P2;09/05/2018  10:45:20 a, m,;19,5;6,5;6,08;124,9;3,9;0,56;1,05;13,5;900;50,09;Regular
HUASAGA;260536,9;9708079,8;P3;09/05/2018  12:54:40 p, m,;20,4;6,63;6,9;57,6;3,4;0,25;1,85;16,3;600;53,71;Regular
HUASAGA;258714,1;9715164,6;P4;09/05/2018  03:18:33 p, m,;20,3;7,2;7,1;73,9;5,8;0,19;0,36;16,2;600;54,49;Regular
HUASAGA;257269,2;9720800,8;P5;09/05/2018  06:15:53 p, m,;20,5;6,5;8,5;86,3;6,5;0,63;2,65;15,9;800;48,52;Malo
CHAPIZA;177784,8;9681258,3;P1;11/05/2018  08:12:23 a, m,;19,7;6,5;9,26;90,02;5,8;0,96;16,7;14,7;1000;47,98;Malo
CHAPIZA;178221,8;9689341,6;P2;11/05/2018  10:33:13 a, m,;19,9;6,2;6,01;48,26;6,4;0,28;3,59;12,9;1300;49,25;Malo
CHAPIZA;178170;9693894;P3;11/05/2018  01:19:35 p, m,;21,6;6,3;7,5;52,1;5,2;0,26;2,86;15,2;600;52,52;Regular
CHAPIZA;176461,8;9699526,9;P4;11/05/2018  03:27:39 p, m,;20,6;6,2;9,36;54,6;2,9;0,59;1,69;11,6;600;53,65;Regular
CHAPIZA;170189;9701869,7;P5;11/05/2018  06:43:19 p, m,;20,2;6,8;8,6;63,2;6,6;0,18;1,63;12,4;600;56,75;Regular
