;;;;;10;;;;;;;;;;;;;;;9;;;;;;;;;;;;8;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;6;;;;;;;;;;5;;;;;;;;4;;;;;;;;;3;;;;;2;;;;;1;RIQUEZA ABSOLUTA;Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);Producción de cada producto (Pi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DIVERSIDAD SEGÚN SHANNON;CALIDAD DEL AGUA SEGÚN SHANNON;ÍNDICE BMWP/Col
RIO;COORD- X;COORD- Y;PUNTO;FECHA;Anomalopsychidae;Atriplectididae;Blepharoceridae;Calamoceratidae;Ptilodactylidae;Chordodidae;Gomphidae;Hydridae;Lampyridae;Lymnessiidae;Odontoceridae;Oligoneuriidae;Perlidae;Polythoridae;Psephenidae;Ampullariidae;Dytiscidae;Ephemeridae;Euthyplociidae;Gyrinidae;Hydraenidae;Hydrobiosidae;Leptophlebiidae;Philopotamidae;Polycentropodidae;Polymitarcydae;Xiphocentronidae;Gerridae;Hebridae;Helicopsychidae;Hydrobiidae;Leptoceridae;Lestidae;Palaemonidae;Pleidae;Pseudothelpusidae;Saldidae;Simuliidae;Veliidae;Baetidae;Caenidae;Calopterygidae;Coenagrionidae;Corixidae;Dixidae;Dryopidae;Glossossomatidae;Hyalellidae;Hydroptilidae;Hydropsychidae;Leptohyphidae;Naucoridae;Notonectidae;Planariidae;Psychodidae;Scirtidae;Aeshnidae;Ancylidae;Corydalidae;Elmidae;Libellulidae;Limnichidae;Lutrochidae;Megapodagrionidae;Sialidae;Staphylinidae;Belostomatidae;Gelastocoridae;Mesoveliidae;Nepidae;Planorbiidae;Pyralidae;Tabanidae;Thiaridae;Chrysomelidae;Stratiomyidae;Haliplidae;Empididae;Dolichopodidae;Sphaeridae;Lymnaeidae;Hydrometridae;Noteridae;Ceratopogonidae;Glossiphoniidae;Cyclobdellidae;Hydrophilidae;Physidae;Culicidae;Chironomidae;Muscidae;Sciomyzidae;Syrphidae;Tubificidae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HUASAGA;275317,5;9699416,5;P1;08/01/2018  07:25:43 a, m,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;0,166666667;;;;;;;;;;;;0,166666667;;;;;;;;;0,166666667;;;;;;;;;;;;;;;;0,166666667;;;;;;;;;;;;;;;;0,166666667;;;;0,166666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;-0,298626578;;;;;;;;;-0,298626578;;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;;;;;-0,298626578;;;;-0,298626578;;;;;;;;;;;;;;;;;1,79;Contaminación moderada;
HUASAGA;267687,4;9704496,8;P2;08/01/2018  09:25:43 a, m,;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;;;;0,142857143;;;;;;;0,142857143;;;;;;;0,142857143;;;;;;;;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;0,142857143;;;;;;-0,277987164;;;;;;;-0,277987164;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;-0,277987164;;;1,95;Contaminación moderada;
HUASAGA;260536,9;9708079,8;P3;08/01/2018  11:25:43 a, m,;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;0,166666667;;;;;;;;;;;;0,166666667;;;;;;;;;;;0,166666667;;;;;;;;;;;0,166666667;;;;;;;;;;0,166666667;;;;0,166666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;-0,298626578;;;;;;;;;;;-0,298626578;;;;;;;;;;;-0,298626578;;;;;;;;;;-0,298626578;;;;-0,298626578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,79;Contaminación moderada;
HUASAGA;258714,1;9715164,6;P4;08/01/2018  14:25:43 p, m,;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0,125;;;;;;;;;;;;0,125;;;;;;;;;;0,125;;;;0,125;;;;;;;;;;;;;;;;;;;0,125;;;;;;;;;;;;;;0,125;;;;;;;;;;;;;;;;0,125;;;;;;;;;;;;;0,125;;;;;;-0,259930193;;;;;;;;;;;;-0,259930193;;;;;;;;;;-0,259930193;;;;-0,259930193;;;;;;;;;;;;;;;;;;;-0,259930193;;;;;;;;;;;;;;-0,259930193;;;;;;;;;;;;;;;;-0,259930193;;;;;;;;;;;;;-0,259930193;;;;;;2,08;Contaminación moderada;
HUASAGA;257269,2;9720800,8;P5;08/01/2018  16:25:43 p, m,;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;;;;0,090909091;;;0,090909091;;;;0,090909091;;;;;;;;;;;;;;0,090909091;;;;0,090909091;;;;;0,090909091;;;;;;0,090909091;;;;;;0,090909091;;;;;;0,090909091;;;;;;;;;;;;;;;;;;;0,090909091;;;;;;0,090909091;;;;;;;;;;;;;;;;;;;;;-0,217990479;;;-0,217990479;;;;-0,217990479;;;;;;;;;;;;;;-0,217990479;;;;-0,217990479;;;;;-0,217990479;;;;;;-0,217990479;;;;;;-0,217990479;;;;;;-0,217990479;;;;;;;;;;;;;;;;;;;-0,217990479;;;;;;-0,217990479;;;;;;;;;;;;;;;;;;2,40;Contaminación moderada;
CHAPIZA;177784,8;9681258,3;P1;10/01/2018  07:25:43 a, m,;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;0,142857143;;;;;0,142857143;;;;;;;;;;;;;;;;;;0,142857143;;;;;;0,142857143;;;;;0,142857143;;;;;;;;0,142857143;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,277987164;;;;;-0,277987164;;;;;;;;;;;;;;;;;;-0,277987164;;;;;;-0,277987164;;;;;-0,277987164;;;;;;;;-0,277987164;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,95;Contaminación moderada;
CHAPIZA;178221,8;9689341,6;P2;10/01/2018  09:25:43 a, m,;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;;;;;;;;;0,142857143;;;;0,142857143;;;;;;0,142857143;;;;;0,142857143;;;;;;0,142857143;;;;0,142857143;;;;0,142857143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,277987164;;;;-0,277987164;;;;;;-0,277987164;;;;;-0,277987164;;;;;;-0,277987164;;;;-0,277987164;;;;-0,277987164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,95;Contaminación moderada;
CHAPIZA;178170;9693894;P3;10/01/2018  11:25:43 a, m,;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;0,2;;;;;;0,2;;;;;;;;;;;;;;;;;;0,2;;;;;;;0,2;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,321887582;;;;;;-0,321887582;;;;;;;;;;;;;;;;;;-0,321887582;;;;;;;-0,321887582;;;-0,321887582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,61;Contaminación moderada;
CHAPIZA;176461,8;9699526,9;P4;10/01/2018  13:25:43 p, m,;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;0,166666667;;;;0,166666667;;;;;;;;;;;;;;0,166666667;;;;;;;;;;;;;;;;0,166666667;;;;;;;;;;;;;;;;;;0,166666667;;;;;;;;;;;;;;;0,166666667;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,298626578;;;;-0,298626578;;;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;;;;;;;;;;;;;1,79;Contaminación moderada;
